Time	UTC	ROTORCRAFT_STATUS:cpu_time	ROTORCRAFT_STATUS:vsupply	ROTORCRAFT_STATUS:ap_v_mode	ROTORCRAFT_STATUS:ap_h_mode	ROTORCRAFT_STATUS:arming_status	ROTORCRAFT_STATUS:ap_motors_on	ROTORCRAFT_STATUS:ap_in_flight	ROTORCRAFT_STATUS:ap_mode	ROTORCRAFT_STATUS:gps_status	ROTORCRAFT_STATUS:frame_rate	ROTORCRAFT_STATUS:rc_status	ROTORCRAFT_STATUS:motor_nb_err	ROTORCRAFT_STATUS:link_imu_nb_err	VIRT_BARO:PRESSURE	VIRT_BARO:FILT_HEIGHT	VIRT_BARO:HEIGHT	VIRT_BARO:ADC	INS:ins_zdd	INS:ins_ydd	INS:ins_xdd	INS:ins_zd	INS:ins_yd	INS:ins_xd	INS:ins_z	INS:ins_y	INS:ins_x	ROTORCRAFT_NAV_STATUS:horizontal_mode	ROTORCRAFT_NAV_STATUS:cur_stage	ROTORCRAFT_NAV_STATUS:cur_block	ROTORCRAFT_NAV_STATUS:dist_wp	ROTORCRAFT_NAV_STATUS:dist_home	ROTORCRAFT_NAV_STATUS:stage_time	ROTORCRAFT_NAV_STATUS:block_time	GPS_INT:comp_id	GPS_INT:fix	GPS_INT:numsv	GPS_INT:pdop	GPS_INT:tow	GPS_INT:sacc	GPS_INT:pacc	GPS_INT:ecef_zd	GPS_INT:ecef_yd	GPS_INT:ecef_xd	GPS_INT:hmsl	GPS_INT:alt	GPS_INT:lon	GPS_INT:lat	GPS_INT:ecef_z	GPS_INT:ecef_y	GPS_INT:ecef_x	ROTORCRAFT_FP:flight_time	ROTORCRAFT_FP:thrust	ROTORCRAFT_FP:carrot_psi	ROTORCRAFT_FP:carrot_up	ROTORCRAFT_FP:carrot_north	ROTORCRAFT_FP:carrot_east	ROTORCRAFT_FP:psi	ROTORCRAFT_FP:theta	ROTORCRAFT_FP:phi	ROTORCRAFT_FP:vup	ROTORCRAFT_FP:vnorth	ROTORCRAFT_FP:veast	ROTORCRAFT_FP:up	ROTORCRAFT_FP:north	ROTORCRAFT_FP:east	HOVER_LOOP:cmd_heading	HOVER_LOOP:cmd_y	HOVER_LOOP:cmd_x	HOVER_LOOP:err_sum_y	HOVER_LOOP:err_sum_x	HOVER_LOOP:err_yd	HOVER_LOOP:err_xd	HOVER_LOOP:err_y	HOVER_LOOP:err_x	HOVER_LOOP:est_ydd	HOVER_LOOP:est_xdd	HOVER_LOOP:est_yd	HOVER_LOOP:est_xd	HOVER_LOOP:est_y	HOVER_LOOP:est_x	HOVER_LOOP:sp_y	HOVER_LOOP:sp_x	VERT_LOOP:delta_t	VERT_LOOP:fb_cmd	VERT_LOOP:ff_cmd	VERT_LOOP:sum_err	VERT_LOOP:adp_meas	VERT_LOOP:adp_cov	VERT_LOOP:adp_inv_m	VERT_LOOP:ref_zdd	VERT_LOOP:ref_zd	VERT_LOOP:ref_z	VERT_LOOP:est_zdd	VERT_LOOP:est_zd	VERT_LOOP:est_z	VERT_LOOP:zd_sp	VERT_LOOP:z_sp	ROTORCRAFT_CMD:cmd_thrust	ROTORCRAFT_CMD:cmd_yaw	ROTORCRAFT_CMD:cmd_pitch	ROTORCRAFT_CMD:cmd_roll	IMU_MAG_SCALED:mz	IMU_MAG_SCALED:my	IMU_MAG_SCALED:mx	IMU_ACCEL_SCALED:az	IMU_ACCEL_SCALED:ay	IMU_ACCEL_SCALED:ax	IMU_GYRO_SCALED:gr	IMU_GYRO_SCALED:gq	IMU_GYRO_SCALED:gp	ENERGY:power	ENERGY:energy	ENERGY:amp	ENERGY:bat	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
187.317	11:55:47.078	186	119	1	2	0	1	0	4	3	91	0	1	0	101309.921875	1.255078	1.255078	1260	1808	1193	913	-68301	0	0	-338	-5130	837	0	1	0	0.	20.3	0	186	0	3	8	170	307400	0	0	0	0	0	0	0	116454433	521379750	501224064	79184640	384210144	0	-1313	0	338	0	0	11035	-72	108	66049	0	0	338	837	-5130	0.	0	0	0	0	0	0	0	0	-2108	-424	0	0	-5130	837	0	0	0	0	0	0	0	26214	57147	0	0	0	1808	-68301	-338	0	-338	-1313	0	108	-19	1712	1983	1656	-11242	1775	-725	174	165	-1612	-253.112991	0	-21.27	11.9	-0.017422	2.691644	0.028414
187.417	11:55:47.178	186	119	1	2	0	1	0	4	3	91	0	1	0	101309.867188	1.260059	1.260059	1265	-708	-1376	-222	-64153	0	0	-338	-5130	837	0	1	0	0.	20.3	0	186	0	3	8	170	307500	0	0	0	0	0	0	0	116454433	521379750	501224064	79184640	384210144	0	-1313	0	338	0	0	11144	-88	100	63289	0	0	338	837	-5130	0.	0	0	0	0	0	0	0	0	-203	-689	0	0	-5130	837	0	0	0	0	0	0	0	26214	57147	0	0	0	-708	-64153	-338	0	-338	-1313	0	26	30	1717	1957	1672	-10300	1088	-583	56	257	-775	-256.825806	0	-21.582001	11.9	-0.021625	2.721365	0.024661
187.517	11:55:47.278	186	119	1	2	0	1	0	4	3	91	0	1	0	101309.921875	1.255078	1.255078	1260	-1945	811	-693	-64570	0	0	-337	-5130	837	0	1	0	0.	20.3	0	186	0	3	8	170	307600	0	0	0	0	0	0	0	116454433	521379750	501224064	79184640	384210144	0	-1313	0	337	0	0	11253	-99	104	65901	0	0	337	837	-5130	0.	0	0	0	0	0	0	0	0	1201	316	0	0	-5130	837	0	0	0	0	0	0	0	26214	57147	0	0	0	-1945	-64570	-337	0	-337	-1313	0	51	-36	1684	1990	1717	-10923	456	235	-331	130	-248	-254.814697	0	-21.413	11.9	-0.024234	2.747709	0.025491
187.617	11:55:47.378	186	119	1	2	0	1	0	4	3	91	0	1	0	101309.921875	1.255078	1.255078	1260	2051	1901	-35	-62182	0	0	-337	-5130	837	0	1	0	0.	20.3	0	186	0	3	8	170	307700	0	0	0	0	0	0	0	116454433	521379750	501224064	79184640	384210144	0	-1313	0	337	0	0	11348	-107	89	66262	0	0	337	837	-5130	0.	0	0	0	0	0	0	0	0	510	1024	0	0	-5130	837	0	0	0	0	0	0	0	26214	57147	0	0	0	2051	-62182	-337	0	-337	-1313	0	132	43	1902	1787	1721	-10060	-1025	1103	-531	-39	-815	-253.112991	0	-21.27	11.9	-0.02623	2.770864	0.02163
187.717	11:55:47.478	187	119	1	2	0	1	0	4	3	90	0	1	0	101309.742188	1.27002	1.27002	1275	948	2460	919	-63971	0	0	-337	-5130	837	0	1	0	0.	20.3	0	186	0	3	8	170	307800	0	0	0	0	0	0	0	116454433	521379750	501224064	79184640	384210144	0	-1313	0	337	0	0	11454	-122	86	62883	0	0	337	837	-5130	0.	0	0	0	0	0	0	0	0	1257	-184	0	0	-5130	837	0	0	0	0	0	0	0	26214	57147	0	0	0	948	-63971	-337	0	-337	-1313	0	92	-115	1721	1898	1672	-10437	-1515	745	-366	-292	-575	-254.969406	0	-21.426001	11.9	-0.029541	2.795166	0.020752
187.817	11:55:47.578	187	119	1	2	0	1	0	4	3	90	0	1	0	101309.867188	1.260059	1.260059	1265	-415	566	-162	-71706	0	0	-337	-5130	837	0	1	0	0.	20.3	0	187	0	3	8	170	307900	0	0	0	0	0	0	0	116454433	521379750	501224064	79184640	384210144	0	-1313	0	337	0	0	11559	-124	63	72023	0	0	337	837	-5130	0.	0	0	0	0	0	0	0	0	598	-707	0	0	-5130	837	0	0	0	0	0	0	0	26214	57147	0	0	0	-415	-71706	-337	0	-337	-1313	0	65	-8	1773	1813	1679	-10020	-505	554	296	183	-841	-253.731796	0	-21.322001	11.9	-0.030179	2.822354	0.015666
187.917	11:55:47.678	187	119	1	2	0	1	0	4	3	90	0	1	0	101309.6875	1.275	1.275	1280	-1682	-228	-209	-76318	0	0	-340	-5130	837	0	1	0	0.	20.3	0	187	0	3	8	170	308000	0	0	0	0	0	0	0	116454433	521379750	501224064	79184640	384210144	0	-1313	0	338	0	0	11669	-138	47	70758	0	0	338	837	-5130	0.	0	0	0	0	0	0	0	0	1365	393	0	0	-5130	837	0	0	0	0	0	0	0	26214	57147	0	0	0	-989	-69171	-338	0	-338	-1313	0	111	38	1684	1961	1782	-10575	-19	176	488	-348	-126	-253.577087	0	-21.309	11.9	-0.034107	2.849604	0.011361
188.017	11:55:47.778	187	119	1	2	0	1	0	4	3	90	0	1	0	101309.867188	1.260059	1.260059	1265	130	867	-1232	-67411	0	0	-338	-5130	837	0	1	0	0.	20.3	0	187	0	3	8	170	308100	0	0	0	0	0	0	0	116454433	521379750	501224064	79184640	384210144	0	-1313	0	338	0	0	11776	-155	35	65622	0	0	338	837	-5130	0.	0	0	0	0	0	0	0	0	631	-1082	0	0	-5130	837	0	0	0	0	0	0	0	26214	57147	0	0	0	130	-67411	-338	0	-338	-1313	0	99	-49	1692	1968	1679	-8814	-1535	107	-17	-43	165	-253.2677	0	-21.283001	11.9	-0.037903	2.875644	0.008952
188.117	11:55:47.878	187	119	1	2	0	1	0	4	3	90	0	1	0	101309.867188	1.260059	1.260059	1265	-1137	-161	-1342	-68505	0	0	-338	-5130	837	0	1	0	0.	20.3	0	187	0	3	8	170	308200	0	0	0	0	0	0	0	116454433	521379750	501224064	79184640	384210144	0	-1313	0	338	0	0	11894	-167	25	69820	0	0	338	837	-5130	0.	0	0	0	0	0	0	0	0	886	-728	0	0	-5130	837	0	0	0	0	0	0	0	26214	57147	0	0	0	-1137	-68505	-338	0	-338	-1313	0	75	35	1721	1872	1698	-8868	-1858	-392	-431	135	-161	-251.411301	0	-21.127001	11.9	-0.041013	2.901497	0.006156
188.217	11:55:47.978	187	119	1	2	0	1	0	4	3	90	0	1	0	101309.867188	1.260059	1.260059	1265	1003	1068	-13	-64037	0	0	-337	-5130	837	0	1	0	0.	20.3	0	187	0	3	8	170	308300	0	0	0	0	0	0	0	116454433	521379750	501224064	79184640	384210144	0	-1313	0	337	0	0	11987	-176	9	64508	0	0	337	837	-5130	0.	0	0	0	0	0	0	0	0	1335	587	0	0	-5130	837	0	0	0	0	0	0	0	26214	57147	0	0	0	1003	-64037	-337	0	-337	-1313	0	120	-43	1684	1990	1751	-8951	-1250	-647	-344	-226	-475	-254.659988	0	-21.4	11.9	-0.043089	2.927212	0.002184
